,col
620,"Normal, Dry, Combination, Oily "
621,"Normal, Dry, Combination, Oily "
622,"Normal, Dry, Combination"
623,"Normal, Dry"
624,"Normal, Dry, Combination, Oily"
625,"Normal, Dry, Combination, Oily"
626,"Normal, Dry"
627,"Normal, Dry"
628,"Normal, Dry, Combination, Oily "
629,"Normal, Dry, Combination, Oily "
630,"Combination, Oily "
631,"Normal, Dry, Combination, Oily"
632,"Normal, Dry, Combination, Oily"
633,"Normal, Dry"
634,"Normal, Dry"
635,"Normal, Dry"
636,"Normal, Dry, Combination, Oily "
637,"Combination, Oily"
638,"Normal, Dry, Combination, Oily "
639,"Combination, Oily"
640,"Normal, Dry, Combination, Oily "
641,"Normal, Dry, Combination, Oily "
642,"Normal, Dry, Combination, Oily "
643,"Normal, Dry, Combination, Oily "
644,"Normal, Dry, Combination, Oily "
645,"Normal, Dry, Combination, Oily "
646,"Normal, Dry, Combination, Oily "
647,"Normal, Dry, Combination, Oily "
648,"Normal, Dry, Combination, Oily "
649,"Normal, Dry, Combination, Oily "
650,"Normal, Dry, Combination, Oily "
651,"Combination, Oily"
652,"Normal, Dry, Combination, Oily"
653,"Normal, Dry"
654,"Normal, Dry, Combination, Oily "
655,"Combination, Oily"
656,"Normal, Dry, Combination, Oily "
657,"Combination, Oily"
658,"Normal, Dry, Combination, Oily "
659,"Normal, Dry, Combination, Oily "
660,"Normal, Dry, Combination, Oily "
661,"Combination, Oily "
662,"Normal, Dry, Combination, Oily "
663,"Normal, Dry, Combination, Oily "
664,"Normal, Dry, Combination, Oily "
665,"Normal, Dry, Combination, Oily "
666,"Normal, Dry"
667,"Normal, Dry"
668,"Combination, Oily "
669,"Normal, Combination, Oily"
670,"Normal, Combination, Oily"
671,Dry
672,"Normal, Dry, Combination, Oily "
673,"Normal, Combination, Oily"
674,"Normal, Dry, Combination, Oily "
675,"Normal, Dry, Combination, Oily "
676,"Normal, Dry, Combination, Oily "
677,"Normal, Dry, Combination, Oily "
678,"Normal, Combination, Oily "
679,"Normal, Dry, Combination, Oily "
680,"Normal, Dry"
681,"Normal, Dry, Combination, Oily "
682,"Normal, Dry, Combination, Oily "
683,"Normal, Combination, Oily "
684,"Normal, Dry, Combination, Oily "
685,"Normal, Dry, Combination, Oily "
686,"Normal, Combination, Oily "
687,"Normal, Dry"
688,"Normal, Dry"
689,"Normal, Dry"
690,Dry
691,Dry
692,"Normal, Dry, Combination, Oily "
693,"Normal, Dry"
694,"Normal, Dry"
695,"Normal, Dry"
696,"Normal, Dry, Combination, Oily "
697,"Normal, Combination, Oily "
698,"Normal, Dry, Combination, Oily "
699,Sensitive
700,"Normal, Dry, Combination, Oily "
701,"Normal, Dry, Combination, Oily "
702,"Normal, Dry, Combination, Oily "
703,"Normal, Dry, Combination, Oily "
704,Dry 
705,"Normal, Dry, Combination, Oily "
706,"Normal, Dry, Combination, Oily "
707," Normal, Dry, Combination, Oily"
708,"Normal, Dry, Combination, Oily"
709,"Normal, Dry, Combination, Oily "
710,Sensitive
711,"Sensitive, Dry"
712,"Normal, Dry, Combination, Oily "
713,"Normal, Dry, Combination, Oily "
714,Oily 
715,Oily 
716,"Normal, Dry, Combination, Oily "
717,Dry
718,Dry
719,Dry
720,"Normal, Dry, Combination, Oily"
721,"Normal, Dry, Combination, Oily "
722,"Normal, Dry, Combination, Oily "
723,"Normal, Oily"
724,"Normal, Oily"
725,"Normal, Dry, Combination, Oily "
726,"Normal, Dry, Combination, Oily "
727,"Normal, Dry, Combination, Oily
"
728,"Normal, Dry"
729,"Normal, Dry, Combination, Oily "
730,"Normal, Dry, Combination, Oily "
731,"Normal, Combination"
732,"Normal, Dry, Combination, Oily "
733,"Normal, Dry, Combination, Oily "
734,"Normal, Dry, Combination, Oily "
735,"Normal, Dry, Combination, Oily "
